Designator,Mid X,Mid Y,Rotation,Layer
+_2,42.935138,-37.888642,270.0,top
+,252.386588,-37.888642,90.0,top
-_2,42.935138,-34.638642,270.0,top
-,252.386588,-34.638642,90.0,top
D1,174.698505,-58.7375,359.0,bottom
D10,231.109546,-62.70625,4.0,bottom
D11,248.751794,-68.2625,4.0,bottom
D12,175.326791,-92.075,359.0,bottom
D13,193.921726,-78.58125,0.0,bottom
D14,211.921726,-69.85,0.0,bottom
D15,229.853929,-79.375,4.0,bottom
D16,247.496179,-84.93125,4.0,bottom
D17,228.28441,-100.80625,4.0,bottom
D18,246.240562,-102.39375,4.0,bottom
D19,270.66875,-106.3625,102.0,bottom
D2,193.921726,-44.45,0.0,bottom
D20,45.0,-51.0,356.0,bottom
D21,62.70625,-45.341409,356.0,bottom
D22,83.53125,-35.71875,0.0,bottom
D23,101.6,-44.45,0.0,bottom
D24,120.65,-57.94375,1.0,bottom
D25,46.0375,-68.2625,356.0,bottom
D26,64.29375,-62.70625,356.0,bottom
D27,83.34375,-52.3875,0.0,bottom
D28,101.6,-61.11875,0.0,bottom
D29,120.65,-75.381816,1.0,bottom
D3,211.921726,-35.71875,0.0,bottom
D30,133.325567,-76.387713,271.0,bottom
D31,47.625,-84.93125,356.0,bottom
D32,64.9,-79.375,356.0,bottom
D33,83.53125,-69.85,0.0,bottom
D34,101.6,-77.7875,0.0,bottom
D35,119.85625,-92.075,1.0,bottom
D36,24.60625,-105.56875,258.0,bottom
D37,48.41875,-101.6,356.0,bottom
D38,66.675,-100.80625,356.0,bottom
D4,232.365163,-45.24375,4.0,bottom
D5,250.007411,-50.8,4.0,bottom
D6,161.925,-76.2,89.0,bottom
D7,175.012648,-75.40625,359.0,bottom
D8,193.921726,-61.11875,0.0,bottom
D9,211.921726,-52.3875,0.0,bottom
J5,245.491588,-38.533642,270.0,top
J6,49.830138,-38.533642,90.0,top
SW1,174.74497203213926,-65.8462414883539,1.0,top
SW10,230.92381938865626,-70.35790128381679,356.0,top
SW11,248.56606738865625,-75.78340828381678,356.0,top
SW12,175.37325803213926,-99.8410624883539,1.0,top
SW13,193.921726,-85.876142,0.0,top
SW14,211.921726,-77.376142,0.0,top
SW15,229.66820238865625,-87.31649028381679,356.0,top
SW16,247.31045238865624,-92.74199628381679,356.0,top
SW17,228.09868338865627,-108.51472528381679,356.0,top
SW18,246.05483538865627,-109.70058628381679,356.0,top
SW19,263.1030600130462,-104.19005112319772,258.0,top
SW2,193.921726,-51.876142,0.0,top
SW20,45.50004161134373,-58.82481828381678,4.0,top
SW21,63.142289611343735,-53.39931228381678,4.0,top
SW22,83.4,-43.376142,0.0,top
SW23,101.4,-51.876142,0.0,top
SW24,120.57675296786073,-65.8462414883539,359.0,top
SW25,46.75565861134373,-75.78340828381678,4.0,top
SW26,64.39790661134373,-70.35790128381679,4.0,top
SW27,83.4,-60.376142,0.0,top
SW28,101.4,-68.876142,0.0,top
SW29,120.26260996786073,-82.8436514883539,359.0,top
SW3,211.921726,-43.376142,0.0,top
SW30,140.64296948835388,-76.26831203213928,89.0,top
SW31,48.01127361134373,-92.74199628381679,4.0,top
SW32,65.65352361134373,-87.31649028381679,4.0,top
SW33,83.4,-77.376142,0.0,top
SW34,101.4,-85.876142,0.0,top
SW35,119.94846696786072,-99.8410624883539,359.0,top
SW36,32.21866598695376,-104.19005112319772,102.0,top
SW37,49.26689061134373,-109.70058628381679,4.0,top
SW38,67.22304261134373,-108.51472528381679,4.0,top
SW4,232.17943638865626,-53.39931228381678,356.0,top
SW5,249.82168438865625,-58.82481828381678,356.0,top
SW6,154.67875651164613,-76.26831203213928,271.0,top
SW7,175.05911503213926,-82.8436514883539,1.0,top
SW8,193.921726,-68.876142,0.0,top
SW9,211.921726,-60.376142,0.0,top
